vnr,frequency,sum
485946,1281,0.322036075851791
83644,1277,0.323403266697501
29066,1276,0.32476938691608
7095,1273,0.326132295253268
17210,1268,0.327489850454802
458349,1266,0.328845264402076
496950,1249,0.330182477688131
6024,1246,0.331516479092793
13957,1243,0.332847268616065
99242,1238,0.334172705003683
513911,1223,0.335482081984343
568964,1200,0.336766834541001
96415,1198,0.338049445843397
7138,1186,0.339319209620227
166395,1184,0.340586832142796
14290,1167,0.341836254004146
147710,1164,0.343082463984103
1362,1147,0.344310473302842
48744,1144,0.345535270740189
515858,1132,0.346747220651969
66278,1130,0.347957029309488
81843,1116,0.34915184918718
466094,1106,0.350335962793566
128355,1087,0.351499734484472
6102,1083,0.352659223666855
11528,1044,0.354894693115439
156810,1044,0.354894693115439
184382,1026,0.355993156551382
79053,1018,0.357083054970279
401851,1015,0.358169741507786
5635,1002,0.359242509892595
55336,999,0.360312066396012
93427,995,0.361377340390907
435651,991,0.36243833187728
155432,990,0.363498252736523
140202,986,0.364553891087243
488619,985,0.365608458810833
149815,981,0.366658744025901
21568,978,0.367705817359576
416446,960,0.368733619404903
19455,948,0.369748573924662
76097,945,0.37076031656303
10264,935,0.371761352930092
108852,934,0.372761318670024
518720,926,0.373752719392911
4222,924,0.374741978861538
559070,919,0.375725885194511
11461,913,0.376703367764702
50963,903,0.377670144063587
4045,894,0.378627284718296
195149,893,0.379583354745876
400044,886,0.380531930383541
162115,875,0.381468729122771
4017,868,0.382398033472087
116137,867,0.384254500916457
515189,867,0.384254500916457
152197,857,0.386089555818216
398074,857,0.386089555818216
27886,856,0.387006012641965
376434,853,0.38883250252668
135384,853,0.38883250252668
192625,850,0.389742535587646
23703,846,0.390648286140089
65722,833,0.391540118539836
22368,829,0.39242766843106
42952,826,0.393312006440893
394858,822,0.395072117443514
511303,822,0.395072117443514
45365,820,0.395950031690563
9783,816,0.39682366342909
115642,814,0.398566644397622
381197,814,0.398566644397622
11007,809,0.399432781746236
61390,808,0.400297848467718
14159,807,0.401161844562071
493692,798,0.402016205012248
9326,797,0.402869494835295
498485,795,0.40372064340408
497099,793,0.404569650718605
489609,792,0.405417587405999
500678,790,0.406263382839132
159632,786,0.407104895763742
462028,785,0.407945338061223
458372,779,0.408779356595919
15343,762,0.409595174469397
418111,761,0.410409921715744
102871,759,0.41122252770783
522730,757,0.412032992445655
71666,753,0.41364535690426
593392,753,0.41364535690426
57215,742,0.415234167565993
416784,742,0.415234167565993
147736,741,0.416027502269729
23824,739,0.417609889168679
431098,739,0.417609889168679
486860,738,0.418400011991024
373340,731,0.419182640423454
2309,722,0.421501618788221
428680,722,0.421501618788221
73178,722,0.421501618788221
575324,721,0.423045463110471
56232,721,0.423045463110471
91769,714,0.424574318652894
143685,714,0.424574318652894
22269,710,0.425334463915583
76106,708,0.426092467924011
168740,707,0.426849401305308
515239,705,0.427604193432345
494674,704,0.428357914932251
59987,703,0.429110565805026
8086,692,0.429851439779365
15301,686,0.430585889990921
153593,683,0.432048366651249
498048,683,0.432048366651249
17236,680,0.432776393100022
107128,674,0.433497995786011
22524,673,0.434939059903729
448413,673,0.434939059903729
97124,671,0.435657450708327
487264,670,0.436374770885794
488627,667,0.437088879181869
43703,663,0.438508530756976
25606,663,0.438508530756976
108628,661,0.439216215290268
580100,660,0.43992282919643
6778,658,0.44062730184833
438424,657,0.4413307038731
505420,655,0.442031964643609
520874,641,0.442718236634291
143891,640,0.443403437997841
475681,639,0.444087568734262
537746,638,0.445453688952841
38534,638,0.445453688952841
466219,632,0.446130325299347
54332,628,0.446802679137331
54320,627,0.447473962348185
124537,626,0.448814387515631
16294,626,0.448814387515631
3755,625,0.450152671428816
3995,625,0.450152671428816
512863,622,0.451484531579217
122754,622,0.451484531579217
20361,620,0.452148320400157
7921,619,0.452811038593966
28241,618,0.453472686160645
513945,614,0.454130051218802
42572,613,0.454786345649827
120295,611,0.455440498826592
414045,609,0.456092510749096
537761,607,0.456742381417339
7104,604,0.45738904020419
178095,600,0.458031416482518
414052,598,0.458671651506586
533737,595,0.459308674649262
66118,594,0.460580579680353
73205,594,0.460580579680353
145250,589,0.461211179060246
417956,587,0.462468095311509
579169,587,0.462468095311509
97147,586,0.46309548281001
490268,585,0.463721799681381
21505,582,0.46434490467136
545848,581,0.464966939034208
529321,576,0.465583620261404
522458,572,0.466196018980077
23685,571,0.467418675163163
18638,571,0.467418675163163
10077,570,0.468028932627576
452227,569,0.469247306302139
23897,569,0.469247306302139
139402,566,0.469853281258029
92878,563,0.470456044332528
479394,562,0.471057736779896
161596,561,0.471658358600133
80507,559,0.473453800298062
81879,559,0.473453800298062
54321,559,0.473453800298062
22396,558,0.474051210236908
37929,552,0.475824168765095
17048,552,0.475824168765095
107110,552,0.475824168765095
71555,550,0.478179548452301
462044,550,0.478179548452301
401828,550,0.478179548452301
88393,550,0.478179548452301
21539,548,0.478766252119841
94332,546,0.4799353769464
531459,546,0.4799353769464
4266,545,0.480518868732548
138404,543,0.481100219264436
13913,542,0.48226077907395
28975,542,0.48226077907395
55290,541,0.483998406906829
4386,541,0.483998406906829
63453,541,0.483998406906829
95588,540,0.484576545557325
463836,537,0.485151472326429
91006,536,0.486299184610377
183434,536,0.486299184610377
152801,533,0.486869828870959
81816,531,0.488006834883601
494724,531,0.488006834883601
96397,530,0.488574267262791
116084,528,0.489139558387721
443424,524,0.489700567004128
10488,523,0.490820442982681
23857,523,0.490820442982681
11270,522,0.491938177706973
52838,522,0.491938177706973
452987,520,0.493051629922743
468124,520,0.493051629922743
2830,519,0.494162940884252
88261,519,0.494162940884252
488809,518,0.4952721105915
124495,518,0.4952721105915
464933,517,0.49693265327098
474783,517,0.49693265327098
