varenr,Frequency,,,
11233,109,,,
22036,109,,,
167818,109,,,
10425,109,,,
115014,109,,,
539668,109,,,
173344,109,,,
165975,109,,,
94906,109,,,
427534,109,,,
42296,109,,,
410290,109,,,
543199,109,,,
875,109,,,
39503,109,,,
74195,109,,,
397380,109,,,
374546,109,,,
488038,108,,,
50931,108,,,
12786,108,,,
48662,108,,,
18044,108,,,
164829,108,,,
488585,108,,,
17668,108,,,
88850,108,,,
25270,108,,,
86543,108,,,
11262,107,,,
455733,107,,,
573089,107,,,
167785,107,,,
141432,107,,,
33612,107,,,
19492,107,,,
377772,107,,,
7613,107,,,
388306,107,,,
6928,107,,,
51349,107,,,
385344,107,,,
4888,107,,,
176435,106,,,
69433,106,,,
81604,106,,,
135855,106,,,
18685,106,,,
530113,106,,,
8865,106,,,
17835,106,,,
509868,106,,,
6828,106,,,
51244,106,,,
4213,106,,,
75325,106,,,
75309,106,,,
528638,106,,,
14540,106,,,
